author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
prifelipe.oficial;Lv. 0;7552538105918653496;"R$ 22.719,63";57;57;"R$ 23.379,43";59;59;"R$ 659,80";2;2;"R$ 23.099,53";58;"R$ 24.724,00";60;60;"R$ 659,80";2;2026-03-27-2026-03-27;7951;29.43%;17249;"R$ 1.779,96";"R$ 23.759,33";1;0;"R$ 0,00";0;5.46%;3258
stephaniepettly;Lv. 0;6818885178338018309;"R$ 101,32";2;2;"R$ 13.039,40";189;192;"R$ 12.938,08";187;190;"R$ 101,32";2;"R$ 15.695,42";222;227;"R$ 16.333,68";220;2026-03-27-2026-03-27;10864;0.00%;0;"R$ 1.361,86";"R$ 16.435,00";0;7;"R$ 34,00";1;4.26%;399910
casatiktokshop;Lv. 0;7279022943836242949;"R$ 10.203,98";111;111;"R$ 10.465,08";114;114;"R$ 261,10";3;3;"R$ 10.296,98";112;"R$ 11.172,83";115;115;"R$ 261,10";3;2026-03-27-2026-03-27;12148;9.68%;35101;"R$ 1.493,71";"R$ 10.558,08";2;0;"R$ 0,00";0;4.81%;1102
mari.belezareal;Lv. 0;7486614588432499717;"R$ 0,00";0;0;"R$ 7.821,24";180;188;"R$ 7.821,24";180;188;"R$ 0,00";0;"R$ 8.307,90";193;201;"R$ 8.411,62";193;2026-03-27-2026-03-27;109328;0.00%;0;"R$ 625,91";"R$ 8.411,62";0;10;"R$ 0,00";0;1.89%;527254
ingridsevilha_;Lv. 0;6819753106247992325;"R$ 4.645,49";35;35;"R$ 6.140,87";43;44;"R$ 1.495,38";8;9;"R$ 6.026,18";47;"R$ 7.850,69";55;56;"R$ 1.478,29";8;2026-03-27-2026-03-27;4210;40.65%;3872;"R$ 725,04";"R$ 7.504,47";4;4;"R$ 0,00";0;8.50%;22939
baacarvalho_;Lv. 0;6807182721396868102;"R$ 7.001,84";223;224;"R$ 7.091,43";226;227;"R$ 89,59";3;3;"R$ 7.162,84";228;"R$ 7.369,59";233;234;"R$ 262,23";5;2026-03-27-2026-03-27;11953;30.62%;30437;"R$ 782,71";"R$ 7.425,07";1;13;"R$ 0,00";0;5.41%;6151
_marigil;Lv. 0;6812034214969426949;"R$ 0,00";0;0;"R$ 5.764,28";70;77;"R$ 5.764,28";70;77;"R$ 0,00";0;"R$ 7.474,79";85;94;"R$ 7.130,48";85;2026-03-27-2026-03-27;18121;0.00%;0;"R$ 721,42";"R$ 7.130,48";0;3;"R$ 945,02";10;9.61%;211667
kahrouul;Lv. 0;6812048966706185222;"R$ 5.912,19";11;11;"R$ 6.100,19";19;19;"R$ 70,90";1;1;"R$ 6.429,39";12;"R$ 6.125,47";20;20;"R$ 70,90";1;2026-03-27-2026-03-27;18299;14.92%;10405;"R$ 509,21";"R$ 6.617,39";1;3;"R$ 0,00";0;7.92%;18630
jokimura;Lv. 0;7065151738303267845;"R$ 4.791,07";80;80;"R$ 5.308,82";90;91;"R$ 517,75";10;11;"R$ 4.978,88";84;"R$ 6.029,80";97;98;"R$ 625,39";12;2026-03-27-2026-03-27;11452;10.81%;13333;"R$ 549,94";"R$ 5.738,67";1;5;"R$ 0,00";0;6.64%;8157
jotamatiotti;Lv. 0;6973353133683426309;"R$ 5.159,16";36;41;"R$ 5.429,76";38;43;"R$ 270,60";2;2;"R$ 5.444,87";38;"R$ 5.977,74";40;45;"R$ 270,60";2;2026-03-27-2026-03-27;19528;17.58%;8800;"R$ 545,24";"R$ 5.715,47";5;4;"R$ 59,86";1;10.17%;7493
samara_1580;Lv. 0;7225327765163492358;"R$ 4.553,03";62;66;"R$ 4.605,83";63;67;"R$ 52,80";1;1;"R$ 5.649,75";75;"R$ 5.315,50";76;83;"R$ 52,80";1;2026-03-27-2026-03-27;41777;31.17%;8485;"R$ 481,97";"R$ 5.702,55";3;0;"R$ 0,00";0;6.87%;6378
planosdaka;Lv. 0;7277304865007682566;"R$ 5.130,46";51;51;"R$ 5.130,46";51;51;"R$ 0,00";0;0;"R$ 5.610,66";60;"R$ 5.607,48";60;60;"R$ 0,00";0;2026-03-27-2026-03-27;8566;47.46%;3584;"R$ 494,23";"R$ 5.610,66";1;0;"R$ 0,00";0;12.72%;283
elenaratrindade;Lv. 0;6532062669149618177;"R$ 3.518,83";40;40;"R$ 5.006,79";57;57;"R$ 1.487,96";17;17;"R$ 3.606,55";41;"R$ 5.646,80";62;62;"R$ 1.774,27";21;2026-03-27-2026-03-27;24653;32.49%;17198;"R$ 537,82";"R$ 5.380,82";2;0;"R$ 0,00";0;9.42%;31979
rafaella.samara;Lv. 0;7325890451452740614;"R$ 4.496,66";32;32;"R$ 4.599,84";34;34;"R$ 103,18";2;2;"R$ 4.745,03";34;"R$ 4.943,86";38;38;"R$ 188,16";4;2026-03-27-2026-03-27;4063;27.21%;2951;"R$ 816,80";"R$ 4.933,19";1;3;"R$ 0,00";0;5.25%;8344
bdgroupshop;Lv. 0;7477153061481694214;"R$ 4.469,23";10;10;"R$ 4.765,70";11;11;"R$ 296,47";1;1;"R$ 4.469,23";10;"R$ 4.754,80";11;11;"R$ 296,47";1;2026-03-27-2026-03-27;4117;11.95%;10836;"R$ 384,87";"R$ 4.765,70";2;1;"R$ 0,00";0;6.13%;3635
morganafuchter;Lv. 0;6813070438303548421;"R$ 0,00";0;0;"R$ 2.922,01";39;39;"R$ 2.922,01";39;39;"R$ 0,00";0;"R$ 5.001,61";66;66;"R$ 4.699,70";66;2026-03-27-2026-03-27;34045;22.22%;9;"R$ 504,00";"R$ 4.699,70";0;11;"R$ 771,85";9;11.11%;202119
exitus.shop;Lv. 0;7465784835714614278;"R$ 3.536,75";38;39;"R$ 3.667,78";40;41;"R$ 131,03";2;2;"R$ 4.229,13";45;"R$ 4.738,79";48;50;"R$ 254,23";3;2026-03-27-2026-03-27;25784;10.90%;9464;"R$ 652,67";"R$ 4.483,36";4;3;"R$ 0,00";0;3.25%;4064
carlaf.bitencourt;Lv. 0;7203798203405108230;"R$ 3.777,51";57;58;"R$ 3.880,02";59;60;"R$ 102,51";2;2;"R$ 4.248,29";64;"R$ 4.272,04";68;69;"R$ 175,98";4;2026-03-27-2026-03-27;18508;28.96%;8880;"R$ 447,33";"R$ 4.424,27";2;4;"R$ 0,00";0;5.70%;5105
roseanelazzarotto;Lv. 0;7103934273183269893;"R$ 2.230,01";14;14;"R$ 3.085,74";35;35;"R$ 855,73";21;21;"R$ 2.754,24";17;"R$ 4.157,01";39;40;"R$ 1.310,99";22;2026-03-27-2026-03-27;6932;9.68%;3524;"R$ 268,93";"R$ 4.065,23";4;8;"R$ 0,00";0;2.60%;41578
fefeshopcreator;Lv. 0;7494400210920162309;"R$ 2.941,38";53;53;"R$ 2.941,38";53;53;"R$ 0,00";0;0;"R$ 3.777,45";68;"R$ 3.867,61";68;68;"R$ 0,00";0;2026-03-27-2026-03-27;7242;33.09%;8141;"R$ 357,89";"R$ 3.777,45";2;5;"R$ 0,00";0;7.35%;2638
marcelafranciscato;Lv. 0;6822687419646215174;"R$ 3.094,46";40;41;"R$ 3.094,46";40;41;"R$ 0,00";0;0;"R$ 3.314,06";43;"R$ 3.491,94";43;44;"R$ 0,00";0;2026-03-27-2026-03-27;6870;17.90%;8942;"R$ 316,94";"R$ 3.314,06";4;8;"R$ 0,00";0;4.78%;3012
walker.edu;Lv. 0;6778287145146582021;"R$ 2.366,02";36;37;"R$ 3.113,68";45;46;"R$ 747,66";9;9;"R$ 2.436,12";37;"R$ 3.515,73";46;47;"R$ 747,66";9;2026-03-27-2026-03-27;5036;7.19%;4618;"R$ 339,48";"R$ 3.183,78";2;14;"R$ 39,70";1;7.96%;19310
eu.julioindica;Lv. 0;190350162744147968;"R$ 2.430,49";71;77;"R$ 2.935,62";86;92;"R$ 505,13";15;15;"R$ 2.525,83";74;"R$ 2.898,64";90;96;"R$ 537,12";16;2026-03-27-2026-03-27;14819;6.97%;33963;"R$ 274,23";"R$ 3.062,95";2;0;"R$ 0,00";0;3.25%;7476
paulabrigo;Lv. 0;6754367042377892869;"R$ 0,00";0;0;"R$ 2.296,41";31;34;"R$ 2.296,41";31;34;"R$ 0,00";0;"R$ 3.010,78";39;43;"R$ 2.966,45";39;2026-03-27-2026-03-27;16611;0.00%;0;"R$ 243,71";"R$ 2.966,45";0;5;"R$ 252,30";3;6.56%;66171
byadrianams;Lv. 0;7516288332260951046;"R$ 35,95";1;1;"R$ 2.335,10";46;49;"R$ 2.299,15";45;48;"R$ 120,85";2;"R$ 2.700,76";52;56;"R$ 2.658,78";50;2026-03-27-2026-03-27;10499;0.00%;0;"R$ 400,55";"R$ 2.779,63";0;2;"R$ 0,00";0;4.32%;64567
babygirltoddy;Lv. 0;6814945483006985221;"R$ 0,00";0;0;"R$ 2.136,80";177;186;"R$ 2.136,80";177;186;"R$ 0,00";0;"R$ 2.152,37";196;206;"R$ 2.318,49";193;2026-03-27-2026-03-27;10986;0.00%;0;"R$ 202,49";"R$ 2.373,87";0;1;"R$ 0,00";0;2.35%;155048
byluizdanyell;Lv. 0;6592688737821392901;"R$ 76,05";1;1;"R$ 1.834,38";20;20;"R$ 1.758,33";19;19;"R$ 76,05";1;"R$ 2.288,63";26;26;"R$ 2.250,36";25;2026-03-27-2026-03-27;119520;0.00%;0;"R$ 190,75";"R$ 2.326,41";0;13;"R$ 0,00";0;5.62%;50969
ester_mccarthy;Lv. 0;7519312663344776248;"R$ 1.661,41";62;62;"R$ 1.884,16";71;71;"R$ 222,75";9;9;"R$ 1.790,05";65;"R$ 1.912,60";74;74;"R$ 222,75";9;2026-03-27-2026-03-27;6563;15.81%;10678;"R$ 175,66";"R$ 2.012,80";8;2;"R$ 0,00";0;4.22%;5068
precisopramim;Lv. 0;7249868912258073606;"R$ 1.601,15";15;17;"R$ 1.601,15";15;17;"R$ 0,00";0;0;"R$ 1.928,16";18;"R$ 1.851,69";18;20;"R$ 0,00";0;2026-03-27-2026-03-27;11129;21.56%;3775;"R$ 152,85";"R$ 1.928,16";3;1;"R$ 0,00";0;2.60%;2038
rafashopbr;Lv. 0;6902922931832980482;"R$ 0,00";0;0;"R$ 175,88";8;9;"R$ 175,88";8;9;"R$ 0,00";0;"R$ 1.823,09";10;11;"R$ 1.866,28";10;2026-03-27-2026-03-27;14765;0.00%;0;"R$ 134,21";"R$ 1.866,28";0;1;"R$ 0,00";0;7.35%;29684
gardeniasarcedoo;Lv. 0;7107248119025632261;"R$ 1.503,89";24;24;"R$ 1.611,71";25;25;"R$ 0,00";0;0;"R$ 1.698,65";30;"R$ 1.654,02";32;32;"R$ 54,63";1;2026-03-27-2026-03-27;4031;24.73%;5023;"R$ 149,84";"R$ 1.861,10";1;2;"R$ 0,00";0;13.74%;4533
tatahdarainha1;Lv. 0;7462908019123258373;"R$ 1.344,49";9;9;"R$ 1.617,89";11;11;"R$ 273,40";2;2;"R$ 1.483,31";10;"R$ 1.439,20";12;12;"R$ 273,40";2;2026-03-27-2026-03-27;28474;12.23%;1194;"R$ 111,22";"R$ 1.756,71";1;5;"R$ 0,00";0;2.12%;3776
