author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
prifelipe.oficial;Lv. 0;7552538105918653496;"R$ 18.917,71";137;145;"R$ 19.046,91";140;148;"R$ 129,20";3;3;"R$ 19.681,29";146;"R$ 19.824,27";150;158;"R$ 170,09";4;2026-03-23-2026-03-23;7564;26.61%;31906;"R$ 1.540,55";"R$ 19.851,38";4;3;"R$ 0,00";0;5.14%;7002
samara_1580;Lv. 0;7225327765163492358;"R$ 12.375,08";192;193;"R$ 12.981,98";199;200;"R$ 446,82";5;5;"R$ 13.088,91";203;"R$ 13.505,78";211;212;"R$ 521,95";6;2026-03-23-2026-03-23;41486;33.91%;20620;"R$ 1.232,24";"R$ 13.770,94";3;0;"R$ 0,00";0;9.37%;9982
stephaniepettly;Lv. 0;6818885178338018309;"R$ 1.897,22";34;34;"R$ 10.487,03";180;181;"R$ 8.589,81";146;147;"R$ 1.897,22";34;"R$ 12.054,53";209;210;"R$ 10.533,64";175;2026-03-23-2026-03-23;9949;25.20%;4678;"R$ 1.121,88";"R$ 12.430,86";1;34;"R$ 0,00";0;5.05%;234757
mari.belezareal;Lv. 0;7486614588432499717;"R$ 0,00";0;0;"R$ 9.033,94";212;218;"R$ 9.033,94";212;218;"R$ 0,00";0;"R$ 10.090,63";241;247;"R$ 10.327,16";241;2026-03-23-2026-03-23;107708;0.00%;0;"R$ 738,34";"R$ 10.327,16";0;10;"R$ 0,00";0;1.80%;675119
jokimura;Lv. 0;7065151738303267845;"R$ 7.892,39";131;133;"R$ 7.957,38";132;134;"R$ 64,99";1;1;"R$ 8.666,48";142;"R$ 9.312,55";144;148;"R$ 133,54";2;2026-03-23-2026-03-23;11004;10.99%;27834;"R$ 869,61";"R$ 8.800,02";1;3;"R$ 0,00";0;6.98%;9706
casatiktokshop;Lv. 0;7279022943836242949;"R$ 8.071,95";89;89;"R$ 8.227,07";91;91;"R$ 155,12";2;2;"R$ 8.245,70";91;"R$ 9.071,99";93;93;"R$ 155,12";2;2026-03-23-2026-03-23;11828;7.84%;29254;"R$ 1.222,44";"R$ 8.400,82";2;0;"R$ 0,00";0;3.60%;1860
_marigil;Lv. 0;6812034214969426949;"R$ 3.509,42";22;22;"R$ 5.158,57";39;40;"R$ 1.649,15";17;18;"R$ 4.148,85";26;"R$ 8.742,17";68;70;"R$ 4.156,19";42;2026-03-23-2026-03-23;17874;16.33%;13441;"R$ 843,33";"R$ 8.305,04";2;9;"R$ 421,29";5;7.66%;129170
byadrianams;Lv. 0;7516288332260951046;"R$ 5.209,55";17;19;"R$ 6.642,10";42;47;"R$ 1.432,55";25;28;"R$ 5.209,55";17;"R$ 7.161,20";46;51;"R$ 1.772,69";29;2026-03-23-2026-03-23;10291;16.66%;13542;"R$ 711,06";"R$ 6.982,24";3;2;"R$ 0,00";0;6.11%;36921
babygirltoddy;Lv. 0;6814945483006985221;"R$ 0,00";0;0;"R$ 6.488,09";573;593;"R$ 6.488,09";573;593;"R$ 0,00";0;"R$ 6.290,97";588;609;"R$ 6.661,90";588;2026-03-23-2026-03-23;10560;0.00%;0;"R$ 1.437,24";"R$ 6.661,90";0;1;"R$ 0,00";0;3.80%;254933
kahrouul;Lv. 0;6812048966706185222;"R$ 5.106,23";10;11;"R$ 6.212,83";20;21;"R$ 962,70";6;6;"R$ 5.106,23";10;"R$ 6.259,87";20;21;"R$ 962,70";6;2026-03-23-2026-03-23;18203;11.31%;10910;"R$ 485,90";"R$ 6.212,83";10;3;"R$ 0,00";0;8.02%;15006
