author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
kahrouul;Lv. 0;6812048966706185222;"R$ 67.858,18";129;129;"R$ 68.098,05";133;133;"R$ 239,87";4;4;"R$ 69.359,68";132;"R$ 71.061,29";137;137;"R$ 1.264,37";5;2026-02-22-2026-02-22;17408;11.92%;78768;"R$ 6.656,80";"R$ 70.624,05";10;0;"R$ 58,79";1;6.07%;7871
exitus.shop;Lv. 0;7465784835714614278;"R$ 18.935,25";186;191;"R$ 19.296,44";190;195;"R$ 361,19";4;4;"R$ 20.463,86";204;"R$ 22.269,73";209;216;"R$ 508,79";5;2026-02-22-2026-02-22;22364;13.39%;28149;"R$ 3.021,01";"R$ 20.972,65";3;0;"R$ 0,00";0;1.33%;15913
empoderyas;Lv. 0;6814645518830388229;"R$ 17.360,14";120;120;"R$ 17.729,10";124;124;"R$ 216,95";3;3;"R$ 18.421,98";127;"R$ 18.601,33";131;131;"R$ 216,95";3;2026-02-22-2026-02-22;24450;15.66%;42177;"R$ 1.665,13";"R$ 18.790,94";2;7;"R$ 0,00";0;7.66%;9651
carlaf.bitencourt;Lv. 0;7203798203405108230;"R$ 7.662,69";117;117;"R$ 8.057,92";124;124;"R$ 395,23";7;7;"R$ 8.171,63";124;"R$ 8.977,08";134;134;"R$ 552,35";10;2026-02-22-2026-02-22;16248;41.97%;13919;"R$ 869,47";"R$ 8.723,98";1;0;"R$ 0,00";0;5.76%;4130
casatiktokshop;Lv. 0;7279022943836242949;"R$ 8.054,08";97;99;"R$ 8.054,08";97;99;"R$ 0,00";0;0;"R$ 8.131,47";98;"R$ 8.572,01";98;100;"R$ 0,00";0;2026-02-22-2026-02-22;10569;10.10%;30033;"R$ 930,17";"R$ 8.131,47";2;0;"R$ 0,00";0;7.21%;2592
elenaratrindade;Lv. 0;6532062669149618177;"R$ 5.537,37";75;77;"R$ 6.541,59";89;91;"R$ 1.004,22";14;14;"R$ 5.996,02";81;"R$ 7.492,09";98;100;"R$ 1.281,72";17;2026-02-22-2026-02-22;21597;34.96%;31319;"R$ 691,96";"R$ 7.277,74";2;2;"R$ 0,00";0;7.29%;26131
isaeiroz;Lv. 0;6813516113005429765;"R$ 0,00";0;0;"R$ 5.873,85";74;75;"R$ 5.873,85";74;75;"R$ 0,00";0;"R$ 7.344,70";91;93;"R$ 7.268,99";91;2026-02-22-2026-02-22;7125;0.00%;0;"R$ 536,68";"R$ 7.268,99";0;12;"R$ 0,00";0;2.54%;156370
paulabrigo;Lv. 0;6754367042377892869;"R$ 328,29";5;5;"R$ 5.790,46";143;151;"R$ 5.462,17";138;146;"R$ 328,29";5;"R$ 6.478,10";152;161;"R$ 6.035,45";147;2026-02-22-2026-02-22;15405;3.79%;1002;"R$ 451,82";"R$ 6.363,74";2;8;"R$ 95,20";1;2.01%;356035
jotamatiotti;Lv. 0;6973353133683426309;"R$ 5.148,03";39;39;"R$ 5.268,65";41;42;"R$ 120,62";2;3;"R$ 5.261,95";41;"R$ 5.561,57";43;44;"R$ 120,62";2;2026-02-22-2026-02-22;18432;17.18%;7886;"R$ 613,77";"R$ 5.382,57";2;4;"R$ 108,89";3;7.96%;9301
prifelipe.oficial;Lv. 0;7552538105918653496;"R$ 4.791,75";59;61;"R$ 4.851,65";60;62;"R$ 59,90";1;1;"R$ 4.791,75";59;"R$ 4.827,78";62;64;"R$ 312,71";3;2026-02-22-2026-02-22;5474;26.22%;7558;"R$ 389,86";"R$ 5.104,46";1;0;"R$ 0,00";0;3.67%;8114
