author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
kahrouul;Lv. 0;6812048966706185222;"R$ 33.068,32";99;102;"R$ 33.243,35";104;107;"R$ 175,03";5;5;"R$ 34.191,04";103;"R$ 36.139,18";109;112;"R$ 214,93";6;2026-01-28-2026-01-28;15766;30.07%;25500;"R$ 3.255,99";"R$ 34.405,97";7;0;"R$ 68,39";1;4.65%;4129
roseanelazzarotto;Lv. 0;7103934273183269893;"R$ 12.307,24";107;111;"R$ 12.618,22";112;116;"R$ 310,98";5;5;"R$ 12.645,59";109;"R$ 15.148,03";116;120;"R$ 501,36";7;2026-01-28-2026-01-28;6348;18.08%;15114;"R$ 770,52";"R$ 13.146,95";2;0;"R$ 0,00";0;5.67%;5876
bdgroupshop;Lv. 0;7477153061481694214;"R$ 11.646,35";23;23;"R$ 11.646,35";23;23;"R$ 0,00";0;0;"R$ 12.340,35";24;"R$ 12.009,57";25;25;"R$ 0,00";0;2026-01-28-2026-01-28;2813;27.55%;8893;"R$ 993,78";"R$ 12.608,65";1;4;"R$ 0,00";0;5.80%;2481
fabiecleon;Lv. 0;6795096179774424069;"R$ 9.686,72";159;179;"R$ 10.360,54";174;194;"R$ 621,72";14;14;"R$ 10.228,21";167;"R$ 11.489,18";182;202;"R$ 621,72";14;2026-01-28-2026-01-28;7186;27.71%;21493;"R$ 1.142,93";"R$ 10.902,03";2;0;"R$ 154,14";1;6.58%;10335
_marigil;Lv. 0;6812034214969426949;"R$ 4.438,90";35;35;"R$ 7.481,87";78;88;"R$ 3.042,97";43;53;"R$ 5.582,06";44;"R$ 8.871,36";89;98;"R$ 3.192,12";45;2026-01-28-2026-01-28;14066;35.11%;7622;"R$ 944,18";"R$ 8.774,18";1;8;"R$ 1.462,54";31;4.34%;202952
corposaudavelshop;Lv. 0;7436549500640265271;"R$ 7.668,21";26;27;"R$ 7.668,21";26;27;"R$ 0,00";0;0;"R$ 7.668,21";26;"R$ 7.585,80";26;27;"R$ 0,00";0;2026-01-28-2026-01-28;7802;15.65%;6345;"R$ 750,90";"R$ 7.668,21";2;0;"R$ 0,00";0;4.96%;807
alex.e.denise;Lv. 0;7524184363413029893;"R$ 5.822,81";63;66;"R$ 6.002,77";66;69;"R$ 179,96";3;3;"R$ 5.922,02";63;"R$ 6.839,64";67;70;"R$ 205,16";4;2026-01-28-2026-01-28;3981;21.95%;14330;"R$ 1.040,73";"R$ 6.127,18";7;0;"R$ 0,00";0;5.27%;6248
casatiktokshop;Lv. 0;7279022943836242949;"R$ 5.308,87";70;71;"R$ 5.308,87";70;71;"R$ 0,00";0;0;"R$ 5.308,87";70;"R$ 5.994,78";71;72;"R$ 0,00";0;2026-01-28-2026-01-28;9377;15.35%;13846;"R$ 635,73";"R$ 5.320,36";2;0;"R$ 0,00";0;5.43%;663
exitus.shop;Lv. 0;7465784835714614278;"R$ 4.441,41";47;47;"R$ 4.714,50";51;51;"R$ 273,09";4;4;"R$ 4.632,25";50;"R$ 5.435,86";54;54;"R$ 273,09";4;2026-01-28-2026-01-28;20038;4.45%;19860;"R$ 729,42";"R$ 4.905,34";1;0;"R$ 0,00";0;3.64%;4372
jokimura;Lv. 0;7065151738303267845;"R$ 3.786,68";70;70;"R$ 3.968,03";73;73;"R$ 181,35";3;3;"R$ 4.499,24";79;"R$ 4.900,24";82;82;"R$ 181,35";3;2026-01-28-2026-01-28;6656;43.08%;17872;"R$ 453,07";"R$ 4.680,59";2;6;"R$ 0,00";0;7.05%;3475
