author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
mari.belezareal;Lv. 5;7486614588432499717;"R$ 0,00";0;0;"R$ 20.529,26";468;476;"R$ 20.529,26";468;476;"R$ 0,00";0;"R$ 22.012,62";507;515;"R$ 22.284,39";507;2026-06-28-2026-06-28;158336;0.00%;0;"R$ 1.630,17";"R$ 22.284,39";0;3;"R$ 0,00";0;2.77%;1520307
_marigil;Lv. 5;6812034214969426949;"R$ 10.802,22";101;101;"R$ 14.716,68";139;139;"R$ 3.914,46";38;38;"R$ 12.056,03";123;"R$ 18.947,37";184;188;"R$ 5.749,00";61;2026-06-28-2026-06-28;25387;14.13%;21497;"R$ 1.705,45";"R$ 17.805,03";1;17;"R$ 919,05";9;1.57%;388538
laizmacaneiro;Lv. 6;6787028951971316742;"R$ 0,00";0;0;"R$ 13.291,68";264;269;"R$ 13.291,68";264;269;"R$ 0,00";0;"R$ 16.944,96";313;318;"R$ 16.513,34";313;2026-06-28-2026-06-28;269996;0.00%;0;"R$ 1.288,69";"R$ 16.513,34";0;24;"R$ 0,00";0;6.88%;456176
planosdaka;Lv. 5;7277304865007682566;"R$ 15.028,66";94;99;"R$ 15.191,39";96;101;"R$ 0,00";0;0;"R$ 16.100,33";108;"R$ 18.297,15";111;117;"R$ 0,00";0;2026-06-28-2026-06-28;12512;56.71%;8524;"R$ 1.467,42";"R$ 16.462,08";1;1;"R$ 0,00";0;9.62%;780
bandeira7616;Lv. 5;7452082627856794630;"R$ 11.899,12";44;49;"R$ 12.011,91";48;53;"R$ 112,79";4;4;"R$ 12.459,12";45;"R$ 11.904,25";50;55;"R$ 138,09";5;2026-06-28-2026-06-28;7623;14.45%;26885;"R$ 1.130,77";"R$ 12.597,21";2;3;"R$ 0,00";0;5.00%;7056
exitus.shop;Lv. 5;7465784835714614278;"R$ 10.166,69";79;83;"R$ 10.166,69";79;83;"R$ 0,00";0;0;"R$ 11.192,56";91;"R$ 12.198,01";91;95;"R$ 0,00";0;2026-06-28-2026-06-28;30000;5.54%;31536;"R$ 1.584,21";"R$ 11.192,56";4;0;"R$ 79,90";1;0.19%;80928
jokimura;Lv. 5;7065151738303267845;"R$ 8.655,66";60;61;"R$ 8.702,68";61;62;"R$ 47,02";1;1;"R$ 9.748,00";68;"R$ 10.745,38";69;70;"R$ 47,02";1;2026-06-28-2026-06-28;20345;11.57%;43231;"R$ 940,84";"R$ 9.795,02";2;2;"R$ 0,00";0;5.56%;10444
realmente_thais;Lv. 5;6830838183241532422;"R$ 6.913,03";38;40;"R$ 7.932,50";55;60;"R$ 1.019,47";17;20;"R$ 7.072,62";39;"R$ 8.775,04";59;64;"R$ 1.084,11";19;2026-06-28-2026-06-28;13937;6.51%;24342;"R$ 561,36";"R$ 8.211,04";4;0;"R$ 76,81";1;8.05%;8208
elenaratrindade;Lv. 5;6532062669149618177;"R$ 4.584,86";38;38;"R$ 6.485,75";54;54;"R$ 1.900,89";16;16;"R$ 5.183,61";43;"R$ 8.600,29";68;68;"R$ 2.426,78";21;2026-06-28-2026-06-28;33457;28.23%;11747;"R$ 684,51";"R$ 8.072,71";1;10;"R$ 0,00";0;10.20%;32596
eualiceindico;Lv. 3;7010041422859338758;"R$ 6.945,40";120;123;"R$ 6.945,40";120;123;"R$ 0,00";0;0;"R$ 7.395,90";128;"R$ 7.109,38";128;131;"R$ 0,00";0;2026-06-28-2026-06-28;6167;32.22%;24657;"R$ 670,18";"R$ 7.395,90";7;0;"R$ 0,00";0;2.54%;786
thauana.amorimm;Lv. 5;7480891124002489350;"R$ 0,00";0;0;"R$ 4.881,47";133;134;"R$ 4.837,56";132;133;"R$ 0,00";0;"R$ 5.426,14";152;154;"R$ 5.649,71";151;2026-06-28-2026-06-28;102159;0.00%;0;"R$ 498,28";"R$ 5.693,62";0;0;"R$ 0,00";0;3.68%;161652
alexxcreator;Lv. 5;7568983106017248267;"R$ 4.066,17";7;7;"R$ 4.066,17";7;7;"R$ 0,00";0;0;"R$ 4.629,52";8;"R$ 4.354,80";8;8;"R$ 0,00";0;2026-06-28-2026-06-28;3663;10.76%;3161;"R$ 376,84";"R$ 4.629,52";2;0;"R$ 0,00";0;10.97%;237
byluizdanyell;Lv. 4;6592688737821392901;"R$ 1.582,60";6;6;"R$ 2.694,17";20;20;"R$ 1.044,45";13;13;"R$ 2.832,53";11;"R$ 4.724,06";29;29;"R$ 1.618,52";17;2026-06-28-2026-06-28;121062;100.00%;3;"R$ 399,23";"R$ 4.518,17";0;9;"R$ 324,60";2;6.93%;32526
jotamatiotti;Lv. 5;6973353133683426309;"R$ 3.539,17";7;7;"R$ 3.806,93";9;9;"R$ 267,76";2;2;"R$ 3.539,17";7;"R$ 4.052,30";12;13;"R$ 399,17";3;2026-06-28-2026-06-28;22935;10.19%;9979;"R$ 297,02";"R$ 4.289,14";6;5;"R$ 0,00";0;4.07%;11267
samialimatiktokshop;Lv. 5;7388147391822119942;"R$ 0,00";0;0;"R$ 3.369,18";133;137;"R$ 3.369,18";133;137;"R$ 0,00";0;"R$ 3.495,04";147;152;"R$ 3.917,90";147;2026-06-28-2026-06-28;19605;0.00%;0;"R$ 229,86";"R$ 3.917,90";0;10;"R$ 0,00";0;2.41%;156608
byadrianams;Lv. 5;7516288332260951046;"R$ 271,30";2;2;"R$ 2.275,21";24;24;"R$ 2.003,91";22;22;"R$ 1.400,45";10;"R$ 4.063,46";35;35;"R$ 2.469,07";25;2026-06-28-2026-06-28;15088;24.05%;1372;"R$ 368,43";"R$ 3.869,52";0;5;"R$ 847,92";6;4.71%;30255
luanna.gomide;Lv. 5;6807131825984996357;"R$ 3.513,17";26;26;"R$ 3.513,17";26;26;"R$ 0,00";0;0;"R$ 3.821,26";28;"R$ 4.141,36";28;28;"R$ 0,00";0;2026-06-28-2026-06-28;7412;13.41%;30072;"R$ 384,19";"R$ 3.821,26";3;0;"R$ 0,00";0;4.78%;2782
lucilenecreator;Lv. 4;7175618308203807749;"R$ 3.464,68";122;132;"R$ 3.596,95";125;135;"R$ 132,27";3;3;"R$ 3.518,32";124;"R$ 3.641,19";127;137;"R$ 132,27";3;2026-06-28-2026-06-28;390708;15.74%;17133;"R$ 198,30";"R$ 3.650,59";11;2;"R$ 0,00";0;2.71%;3727
marcelafranciscato;Lv. 5;6822687419646215174;"R$ 2.823,74";22;22;"R$ 3.166,02";25;25;"R$ 342,28";3;3;"R$ 2.963,66";23;"R$ 3.566,07";27;27;"R$ 438,27";4;2026-06-28-2026-06-28;11150;15.07%;8634;"R$ 350,51";"R$ 3.401,93";4;3;"R$ 0,00";0;4.02%;26176
jaknasscimento;Lv. 3;6563638864810934277;"R$ 2.981,80";25;25;"R$ 3.061,70";26;26;"R$ 79,90";1;1;"R$ 3.259,37";28;"R$ 3.648,59";29;29;"R$ 79,90";1;2026-06-28-2026-06-28;13291;22.19%;9017;"R$ 277,20";"R$ 3.339,27";4;3;"R$ 0,00";0;2.50%;3041
rafaelmunarocreator;Lv. 4;7094338910360372229;"R$ 0,00";0;0;"R$ 3.421,07";49;51;"R$ 3.421,07";49;51;"R$ 0,00";0;"R$ 3.408,57";49;49;"R$ 3.337,98";49;2026-06-28-2026-06-28;18070;0.00%;0;"R$ 195,48";"R$ 3.337,98";0;16;"R$ 160,86";1;1.93%;67343
geisivibes;Lv. 4;7550508564374569989;"R$ 0,00";0;0;"R$ 2.709,84";44;44;"R$ 2.709,84";44;44;"R$ 0,00";0;"R$ 3.243,55";52;52;"R$ 3.211,25";52;2026-06-28-2026-06-28;15843;0.00%;0;"R$ 284,06";"R$ 3.211,25";0;0;"R$ 0,00";0;3.37%;108950
