author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
kahrouul;Lv. 5;6812048966706185222;"R$ 30.966,73";72;72;"R$ 31.448,77";78;78;"R$ 482,04";6;6;"R$ 38.368,05";91;"R$ 44.090,93";99;99;"R$ 1.247,46";8;2026-06-05-2026-06-05;22283;8.85%;45135;"R$ 2.337,96";"R$ 39.615,51";4;0;"R$ 317,10";2;5.84%;8492
lahcasarini;Lv. 3;139568060973113344;"R$ 0,00";0;0;"R$ 3.445,94";19;19;"R$ 3.445,94";19;19;"R$ 0,00";0;"R$ 18.172,45";44;44;"R$ 17.205,75";44;2026-06-05-2026-06-05;98302;0.00%;0;"R$ 681,82";"R$ 17.205,75";0;40;"R$ 0,00";0;3.18%;90722
_marigil;Lv. 5;6812034214969426949;"R$ 3.647,27";41;46;"R$ 9.605,94";112;121;"R$ 5.958,67";71;75;"R$ 4.002,24";46;"R$ 15.862,91";171;182;"R$ 10.588,22";125;2026-06-05-2026-06-05;23827;9.80%;8142;"R$ 1.372,87";"R$ 14.590,46";1;7;"R$ 5.728,70";68;5.44%;284978
caiorelha;Lv. 4;7516247718911444024;"R$ 12.580,22";27;28;"R$ 13.097,17";29;30;"R$ 516,95";2;2;"R$ 12.580,22";27;"R$ 15.678,09";29;30;"R$ 516,95";2;2026-06-05-2026-06-05;2813;10.65%;19134;"R$ 680,32";"R$ 13.097,17";2;6;"R$ 0,00";0;4.57%;4264
marcelafranciscato;Lv. 5;6822687419646215174;"R$ 9.486,80";66;66;"R$ 10.657,75";77;77;"R$ 1.170,95";11;11;"R$ 10.731,21";74;"R$ 13.962,06";89;90;"R$ 1.906,40";15;2026-06-05-2026-06-05;10369;37.46%;5214;"R$ 1.434,13";"R$ 12.637,61";1;5;"R$ 0,00";0;7.67%;24285
planosdaka;Lv. 5;7277304865007682566;"R$ 11.387,62";71;72;"R$ 11.387,62";71;72;"R$ 0,00";0;0;"R$ 12.084,24";78;"R$ 13.118,27";78;80;"R$ 0,00";0;2026-06-05-2026-06-05;11706;60.39%;4279;"R$ 1.135,01";"R$ 12.084,24";1;0;"R$ 0,00";0;9.23%;1159
baacarvalho_;Lv. 4;6807182721396868102;"R$ 10.383,12";148;148;"R$ 11.221,84";162;163;"R$ 838,72";14;15;"R$ 11.086,78";156;"R$ 12.879,95";170;171;"R$ 838,72";14;2026-06-05-2026-06-05;14395;43.56%;12618;"R$ 1.199,06";"R$ 11.925,50";2;17;"R$ 0,00";0;5.08%;27173
samiaaragaomorais;Lv. 5;7388147391822119942;"R$ 0,00";0;0;"R$ 10.040,99";400;423;"R$ 10.040,99";400;423;"R$ 0,00";0;"R$ 11.041,05";450;478;"R$ 11.396,02";450;2026-06-05-2026-06-05;16682;0.00%;0;"R$ 914,21";"R$ 11.396,02";0;17;"R$ 0,00";0;3.02%;330653
glowfit.club1;Lv. 5;7483243610416464902;"R$ 8.582,38";192;194;"R$ 9.168,74";200;202;"R$ 586,36";8;8;"R$ 9.753,14";222;"R$ 10.504,47";230;232;"R$ 586,36";8;2026-06-05-2026-06-05;5571;20.13%;25916;"R$ 798,00";"R$ 10.339,50";2;9;"R$ 0,00";0;4.80%;20523
mari.belezareal;Lv. 5;7486614588432499717;"R$ 0,00";0;0;"R$ 9.257,83";238;243;"R$ 9.257,83";238;243;"R$ 0,00";0;"R$ 9.955,10";259;264;"R$ 10.321,16";259;2026-06-05-2026-06-05;138191;0.00%;0;"R$ 630,66";"R$ 10.321,16";0;11;"R$ 355,51";3;2.46%;430167
bandeira7616;Lv. 5;7452082627856794630;"R$ 8.219,01";34;56;"R$ 8.219,01";34;56;"R$ 0,00";0;0;"R$ 9.999,81";42;"R$ 11.264,70";42;70;"R$ 0,00";0;2026-06-05-2026-06-05;6535;20.58%;11436;"R$ 990,38";"R$ 9.999,81";1;7;"R$ 81,80";1;6.39%;4164
jokimura;Lv. 5;7065151738303267845;"R$ 8.354,23";156;157;"R$ 9.145,47";165;166;"R$ 791,24";9;9;"R$ 8.873,76";165;"R$ 10.427,29";175;176;"R$ 791,24";9;2026-06-05-2026-06-05;17951;6.07%;55572;"R$ 844,10";"R$ 9.694,41";1;3;"R$ 60,07";1;3.67%;12792
realmente_thais;Lv. 4;6830838183241532422;"R$ 7.624,61";43;43;"R$ 9.148,34";73;74;"R$ 1.523,73";30;31;"R$ 7.624,61";43;"R$ 10.382,79";77;78;"R$ 1.823,13";34;2026-06-05-2026-06-05;12600;7.02%;21441;"R$ 786,89";"R$ 9.447,74";6;1;"R$ 223,82";3;4.60%;35178
nilcelifestyleoficial;Lv. 4;7205386322986648581;"R$ 7.104,61";86;86;"R$ 7.200,24";87;87;"R$ 95,63";1;1;"R$ 7.897,11";96;"R$ 8.175,63";97;97;"R$ 95,63";1;2026-06-05-2026-06-05;5190;18.84%;18193;"R$ 741,35";"R$ 7.992,74";2;0;"R$ 0,00";0;5.54%;1481
juhindicaa;Lv. 5;6809368191572984837;"R$ 6.650,66";59;60;"R$ 7.114,21";64;68;"R$ 463,55";5;8;"R$ 7.360,96";66;"R$ 8.856,72";73;77;"R$ 583,88";7;2026-06-05-2026-06-05;7989;33.45%;13876;"R$ 813,71";"R$ 7.944,84";2;3;"R$ 0,00";0;2.60%;11811
walker.edu;Lv. 5;6778287145146582021;"R$ 4.791,60";52;54;"R$ 5.998,55";66;68;"R$ 1.206,95";14;14;"R$ 5.908,81";67;"R$ 8.464,70";87;91;"R$ 1.955,21";20;2026-06-05-2026-06-05;6226;6.88%;15989;"R$ 824,40";"R$ 7.864,02";5;8;"R$ 0,00";0;3.19%;17697
