author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
mari.belezareal;Lv. 5;7486614588432499717;"R$ 0,00";0;0;"R$ 27.872,21";673;677;"R$ 27.872,21";673;677;"R$ 0,00";0;"R$ 29.668,53";711;715;"R$ 29.828,40";711;2026-06-26-2026-06-26;154341;0.00%;0;"R$ 2.217,23";"R$ 29.828,40";0;1;"R$ 0,00";0;2.14%;2347428
laizmacaneiro;Lv. 6;6787028951971316742;"R$ 0,00";0;0;"R$ 12.228,35";272;274;"R$ 12.194,88";271;273;"R$ 0,00";0;"R$ 16.656,07";332;333;"R$ 16.188,70";331;2026-06-26-2026-06-26;269742;0.00%;0;"R$ 1.307,04";"R$ 16.222,17";0;36;"R$ 0,00";0;5.62%;604232
_marigil;Lv. 5;6812034214969426949;"R$ 6.778,49";76;76;"R$ 11.714,69";128;129;"R$ 4.936,20";52;53;"R$ 7.217,07";83;"R$ 15.230,78";154;156;"R$ 7.133,66";71;2026-06-26-2026-06-26;25078;15.12%;12351;"R$ 1.509,03";"R$ 14.350,73";1;12;"R$ 1.512,93";16;7.36%;152646
bandeira7616;Lv. 5;7452082627856794630;"R$ 10.797,20";40;45;"R$ 11.459,80";44;49;"R$ 662,60";4;4;"R$ 12.859,88";46;"R$ 13.043,18";49;54;"R$ 662,60";3;2026-06-26-2026-06-26;7439;19.06%;16155;"R$ 1.214,71";"R$ 13.522,48";1;3;"R$ 0,00";0;3.91%;11615
planosdaka;Lv. 5;7277304865007682566;"R$ 12.212,91";80;84;"R$ 12.346,52";82;86;"R$ 0,00";0;0;"R$ 12.767,50";94;"R$ 14.362,35";96;100;"R$ 0,00";0;2026-06-26-2026-06-26;12418;61.26%;6879;"R$ 1.131,06";"R$ 12.901,11";2;0;"R$ 0,00";0;3.30%;757
exitus.shop;Lv. 4;7465784835714614278;"R$ 8.641,17";77;84;"R$ 8.970,76";80;87;"R$ 329,59";3;3;"R$ 9.489,33";82;"R$ 10.537,12";85;94;"R$ 329,59";3;2026-06-26-2026-06-26;29895;9.01%;14511;"R$ 1.391,11";"R$ 9.818,92";3;5;"R$ 0,00";0;0.46%;31923
empoderyas;Lv. 5;6814645518830388229;"R$ 6.139,71";39;39;"R$ 6.597,43";41;41;"R$ 151,90";1;1;"R$ 6.538,49";41;"R$ 7.952,36";46;46;"R$ 460,01";4;2026-06-26-2026-06-26;32178;6.77%;28859;"R$ 379,02";"R$ 7.304,32";4;21;"R$ 153,81";2;3.84%;15225
dicasdamay62;Lv. 5;7597815478207693832;"R$ 5.679,57";45;45;"R$ 6.281,35";52;52;"R$ 601,78";7;7;"R$ 6.076,10";48;"R$ 7.553,07";62;62;"R$ 1.051,18";13;2026-06-26-2026-06-26;12243;22.44%;14325;"R$ 677,23";"R$ 7.227,48";8;9;"R$ 0,00";0;4.62%;9653
marcelafranciscato;Lv. 5;6822687419646215174;"R$ 5.844,67";38;38;"R$ 7.087,89";47;48;"R$ 1.243,22";9;10;"R$ 5.860,45";38;"R$ 7.733,69";47;48;"R$ 1.243,22";9;2026-06-26-2026-06-26;11103;26.26%;5507;"R$ 769,69";"R$ 7.103,67";2;0;"R$ 0,00";0;9.32%;18709
laerte.surfly;Lv. 5;7611650967038133255;"R$ 5.902,27";36;36;"R$ 6.061,26";37;37;"R$ 158,99";1;1;"R$ 6.776,53";41;"R$ 7.921,54";43;43;"R$ 325,06";2;2026-06-26-2026-06-26;34327;14.44%;17245;"R$ 722,76";"R$ 7.101,59";7;4;"R$ 0,00";0;9.32%;2993
samara_1580;Lv. 5;7225327765163492358;"R$ 6.410,84";53;54;"R$ 6.410,84";53;54;"R$ 0,00";0;0;"R$ 7.031,11";58;"R$ 7.458,26";58;59;"R$ 0,00";0;2026-06-26-2026-06-26;45723;20.45%;14452;"R$ 494,84";"R$ 7.031,11";6;0;"R$ 0,00";0;6.70%;1865
jokimura;Lv. 5;7065151738303267845;"R$ 5.712,85";46;46;"R$ 6.105,94";51;51;"R$ 393,09";5;5;"R$ 6.366,79";46;"R$ 7.489,61";53;53;"R$ 576,56";6;2026-06-26-2026-06-26;19927;16.45%;24019;"R$ 672,55";"R$ 6.943,35";1;1;"R$ 0,00";0;4.83%;10731
byluizdanyell;Lv. 4;6592688737821392901;"R$ 4.735,39";19;19;"R$ 6.442,36";35;35;"R$ 1.706,97";16;16;"R$ 4.735,39";19;"R$ 7.474,55";38;38;"R$ 2.117,39";19;2026-06-26-2026-06-26;121014;19.90%;11358;"R$ 622,95";"R$ 6.852,78";3;19;"R$ 444,34";3;6.25%;38334
elisdlpereira;Lv. 3;7566023901030827064;"R$ 5.896,73";12;12;"R$ 5.918,52";13;13;"R$ 21,79";1;1;"R$ 5.896,73";12;"R$ 5.800,99";13;13;"R$ 21,79";1;2026-06-26-2026-06-26;3761;8.53%;9773;"R$ 280,39";"R$ 5.918,52";3;1;"R$ 0,00";0;1.71%;1050
