author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
prifelipe.oficial;Lv. 0;7552538105918653496;"R$ 39.343,81";428;440;"R$ 39.472,01";431;443;"R$ 50,70";2;2;"R$ 40.835,54";443;"R$ 42.039,52";447;462;"R$ 70,39";3;2026-04-26-2026-04-26;9176;15.89%;64389;"R$ 3.550,08";"R$ 40.983,43";2;0;"R$ 0,00";0;6.73%;4311
luanna.gomide;Lv. 0;6807131825984996357;"R$ 20.159,50";134;135;"R$ 20.404,48";136;137;"R$ 0,00";0;0;"R$ 21.744,32";144;"R$ 23.392,44";146;147;"R$ 0,00";0;2026-04-26-2026-04-26;3920;27.88%;31357;"R$ 2.111,72";"R$ 21.989,30";1;0;"R$ 0,00";0;3.02%;1525
byadrianams;Lv. 0;7516288332260951046;"R$ 13.326,06";81;82;"R$ 14.666,38";113;114;"R$ 1.316,33";31;31;"R$ 15.646,82";93;"R$ 17.508,88";130;135;"R$ 1.558,37";36;2026-04-26-2026-04-26;12331;41.81%;12602;"R$ 1.682,16";"R$ 17.229,18";1;2;"R$ 0,00";0;2.30%;87221
elenaratrindade;Lv. 0;6532062669149618177;"R$ 11.514,91";107;107;"R$ 13.096,94";121;121;"R$ 1.582,03";14;14;"R$ 12.224,14";113;"R$ 14.756,97";130;130;"R$ 1.897,09";17;2026-04-26-2026-04-26;28007;32.72%;29864;"R$ 1.242,25";"R$ 14.121,23";2;1;"R$ 0,00";0;7.81%;37590
_marigil;Lv. 0;6812034214969426949;"R$ 1.018,75";13;13;"R$ 11.380,59";174;186;"R$ 10.361,84";161;173;"R$ 1.018,75";13;"R$ 13.162,81";207;220;"R$ 12.957,87";194;2026-04-26-2026-04-26;19886;38.73%;9479;"R$ 1.166,56";"R$ 13.976,62";1;4;"R$ 4.999,59";82;5.22%;472266
rafaella.samara;Lv. 0;7325890451452740614;"R$ 8.738,77";60;60;"R$ 9.119,12";65;65;"R$ 380,35";5;5;"R$ 9.706,14";68;"R$ 11.063,93";75;75;"R$ 695,92";7;2026-04-26-2026-04-26;4585;19.37%;12442;"R$ 1.843,97";"R$ 10.402,06";3;0;"R$ 0,00";0;8.96%;5918
jotamatiotti;Lv. 0;6973353133683426309;"R$ 9.878,15";73;76;"R$ 9.878,15";73;76;"R$ 0,00";0;0;"R$ 10.285,56";76;"R$ 11.051,20";77;80;"R$ 114,90";1;2026-04-26-2026-04-26;21114;14.81%;17604;"R$ 1.452,02";"R$ 10.400,46";4;2;"R$ 138,93";2;5.70%;61375
planosdaka;Lv. 0;7277304865007682566;"R$ 8.240,00";59;60;"R$ 8.286,29";61;62;"R$ 0,00";0;0;"R$ 8.840,83";63;"R$ 9.311,48";65;66;"R$ 0,00";0;2026-04-26-2026-04-26;10079;44.44%;6712;"R$ 900,79";"R$ 8.887,12";1;0;"R$ 0,00";0;8.98%;2627
marcelafranciscato;Lv. 0;6822687419646215174;"R$ 7.697,69";50;60;"R$ 7.991,22";53;63;"R$ 293,53";3;3;"R$ 7.697,69";50;"R$ 8.774,81";55;67;"R$ 462,64";5;2026-04-26-2026-04-26;8618;18.68%;8291;"R$ 919,64";"R$ 8.160,33";1;5;"R$ 119,80";2;4.64%;6204
jokimura;Lv. 0;7065151738303267845;"R$ 7.502,12";126;128;"R$ 7.831,17";132;134;"R$ 329,05";6;6;"R$ 7.632,45";128;"R$ 8.542,99";136;138;"R$ 440,28";8;2026-04-26-2026-04-26;13924;8.45%;33340;"R$ 807,86";"R$ 8.072,73";1;4;"R$ 0,00";0;4.90%;11304
casatiktokshop;Lv. 0;7279022943836242949;"R$ 5.936,09";64;65;"R$ 6.015,10";65;66;"R$ 79,01";1;1;"R$ 6.036,59";66;"R$ 6.453,90";67;68;"R$ 79,01";1;2026-04-26-2026-04-26;14712;6.70%;35369;"R$ 864,18";"R$ 6.115,60";3;0;"R$ 0,00";0;2.73%;622
bandeira7616;Lv. 0;7452082627856794630;"R$ 4.849,54";21;31;"R$ 4.849,54";21;31;"R$ 0,00";0;0;"R$ 6.007,72";25;"R$ 6.149,70";25;36;"R$ 0,00";0;2026-04-26-2026-04-26;3322;19.68%;13038;"R$ 541,19";"R$ 6.007,72";3;1;"R$ 0,00";0;6.40%;1454
heeycamiss;Lv. 0;7014645431012639750;"R$ 5.160,45";180;180;"R$ 5.242,15";183;183;"R$ 81,70";3;3;"R$ 5.815,51";201;"R$ 5.681,84";206;207;"R$ 81,70";3;2026-04-26-2026-04-26;4539;23.93%;17324;"R$ 505,13";"R$ 5.952,92";2;5;"R$ 0,00";0;2.57%;2098
bdgroupshop;Lv. 0;7477153061481694214;"R$ 3.724,43";9;9;"R$ 4.493,33";10;10;"R$ 768,90";1;1;"R$ 5.146,52";12;"R$ 5.725,69";13;13;"R$ 768,90";1;2026-04-26-2026-04-26;4784;14.28%;8748;"R$ 399,31";"R$ 5.915,42";1;0;"R$ 0,00";0;4.66%;1029
empoderyas;Lv. 0;6814645518830388229;"R$ 5.238,57";38;38;"R$ 5.470,57";42;42;"R$ 232,00";4;4;"R$ 5.435,57";40;"R$ 5.807,31";44;44;"R$ 232,00";4;2026-04-26-2026-04-26;27186;8.72%;27936;"R$ 525,77";"R$ 5.667,57";3;13;"R$ 128,20";2;5.32%;11155
jeandomingues.seller;Lv. 0;7383507566749877254;"R$ 5.198,02";109;141;"R$ 5.198,02";109;141;"R$ 0,00";0;0;"R$ 5.198,02";109;"R$ 5.002,62";109;141;"R$ 0,00";0;2026-04-26-2026-04-26;3111;6.32%;25142;"R$ 674,39";"R$ 5.198,02";10;0;"R$ 0,00";0;3.13%;447
roseanelazzarotto;Lv. 0;7103934273183269893;"R$ 3.646,21";20;20;"R$ 3.794,62";21;21;"R$ 148,41";1;1;"R$ 3.923,51";22;"R$ 4.449,68";24;24;"R$ 306,41";2;2026-04-26-2026-04-26;7454;14.57%;8334;"R$ 258,98";"R$ 4.229,92";2;0;"R$ 0,00";0;5.28%;2407
fefeshopcreator;Lv. 0;7494400210920162309;"R$ 2.973,19";45;46;"R$ 3.163,95";48;49;"R$ 190,76";3;3;"R$ 3.733,15";60;"R$ 4.185,63";64;65;"R$ 240,12";4;2026-04-26-2026-04-26;8078;13.00%;14502;"R$ 415,28";"R$ 3.973,27";3;7;"R$ 0,00";0;5.69%;5661
by.luanadias;Lv. 0;7190388902812894213;"R$ 3.245,44";35;36;"R$ 3.312,31";36;37;"R$ 66,87";1;1;"R$ 3.734,61";40;"R$ 4.063,89";41;42;"R$ 66,87";1;2026-04-26-2026-04-26;4264;28.36%;8618;"R$ 386,00";"R$ 3.801,48";1;4;"R$ 0,00";0;6.23%;3530
abigailrodriguesd;Lv. 0;7076785542177014789;"R$ 3.348,55";46;46;"R$ 3.602,77";51;51;"R$ 254,22";5;5;"R$ 3.508,67";48;"R$ 3.818,66";53;53;"R$ 254,22";5;2026-04-26-2026-04-26;2712;15.12%;8732;"R$ 438,19";"R$ 3.762,89";3;0;"R$ 0,00";0;4.82%;3406
baacarvalho_;Lv. 0;6807182721396868102;"R$ 2.795,92";35;35;"R$ 3.225,26";46;46;"R$ 429,34";11;11;"R$ 2.947,12";37;"R$ 3.555,79";49;49;"R$ 470,82";12;2026-04-26-2026-04-26;13101;22.78%;10832;"R$ 198,80";"R$ 3.417,94";3;13;"R$ 0,00";0;5.65%;25627
carlaf.bitencourt;Lv. 0;7203798203405108230;"R$ 2.456,63";33;33;"R$ 3.056,74";41;41;"R$ 600,11";8;8;"R$ 2.526,35";34;"R$ 3.496,47";45;45;"R$ 853,94";11;2026-04-26-2026-04-26;20869;32.50%;9724;"R$ 237,16";"R$ 3.380,29";1;0;"R$ 0,00";0;6.04%;6684
naiana_sa;Lv. 0;6960844845187875845;"R$ 3.148,80";79;80;"R$ 3.177,64";80;81;"R$ 28,84";1;1;"R$ 3.187,80";80;"R$ 3.239,54";81;82;"R$ 28,84";1;2026-04-26-2026-04-26;4304;17.46%;11681;"R$ 307,57";"R$ 3.216,64";1;0;"R$ 0,00";0;13.31%;1442
daayrocha3.1;Lv. 0;7586698916058481682;"R$ 0,00";0;0;"R$ 3.189,55";1;1;"R$ 0,00";0;0;"R$ 0,00";0;"R$ 2.797,88";1;1;"R$ 0,00";0;2026-04-26-2026-04-26;4462;0.00%;0;"R$ 201,45";"R$ 3.189,55";0;0;"R$ 0,00";0;2.50%;921
paulabrigo;Lv. 0;6754367042377892869;"R$ 0,00";0;0;"R$ 2.911,78";46;47;"R$ 2.911,78";46;47;"R$ 0,00";0;"R$ 3.113,31";49;50;"R$ 3.056,39";49;2026-04-26-2026-04-26;17348;0.00%;0;"R$ 235,42";"R$ 3.056,39";0;1;"R$ 186,38";4;4.62%;57885
luanageneralii;Lv. 0;6813149653313799173;"R$ 2.335,02";16;16;"R$ 2.723,61";19;19;"R$ 324,00";2;2;"R$ 2.475,02";17;"R$ 2.843,99";20;20;"R$ 324,00";2;2026-04-26-2026-04-26;3029;14.10%;5774;"R$ 353,75";"R$ 2.863,61";5;10;"R$ 0,00";0;6.93%;10432
kahrouul;Lv. 0;6812048966706185222;"R$ 846,37";5;5;"R$ 2.443,89";12;12;"R$ 546,88";2;2;"R$ 1.126,17";6;"R$ 2.760,63";15;15;"R$ 658,80";4;2026-04-26-2026-04-26;19855;23.65%;2829;"R$ 211,09";"R$ 2.835,61";1;11;"R$ 0,00";0;5.84%;9451
ah.barbra;Lv. 0;6810907592987395077;"R$ 962,62";14;14;"R$ 2.237,09";27;27;"R$ 1.190,47";12;12;"R$ 962,62";14;"R$ 2.627,30";31;31;"R$ 1.588,14";16;2026-04-26-2026-04-26;2327;21.91%;2506;"R$ 239,74";"R$ 2.634,76";1;11;"R$ 0,00";0;12.78%;16673
thiagofariastestando;Lv. 0;6797526976879313925;"R$ 2.367,50";30;34;"R$ 2.367,50";30;34;"R$ 0,00";0;0;"R$ 2.477,49";31;"R$ 2.566,94";31;35;"R$ 0,00";0;2026-04-26-2026-04-26;3707;6.07%;9754;"R$ 189,27";"R$ 2.477,49";3;2;"R$ 0,00";0;3.14%;191
juhindicaa;Lv. 0;6809368191572984837;"R$ 2.298,97";20;20;"R$ 2.467,74";24;24;"R$ 168,77";4;4;"R$ 2.298,97";20;"R$ 2.675,14";24;24;"R$ 168,77";4;2026-04-26-2026-04-26;6394;23.68%;7717;"R$ 241,37";"R$ 2.467,74";1;3;"R$ 0,00";0;5.61%;3688
samara_1580;Lv. 0;7225327765163492358;"R$ 1.306,34";21;21;"R$ 2.113,99";28;28;"R$ 807,65";7;7;"R$ 1.455,80";23;"R$ 2.302,45";30;30;"R$ 807,65";7;2026-04-26-2026-04-26;43119;27.93%;3408;"R$ 188,09";"R$ 2.263,45";1;0;"R$ 0,00";0;6.25%;9038
