author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
kahrouul;Lv. 0;6812048966706185222;"R$ 18.475,60";35;35;"R$ 20.244,45";40;40;"R$ 1.768,85";5;5;"R$ 18.975,93";36;"R$ 20.006,49";43;43;"R$ 2.005,56";7;2026-05-14-2026-05-14;20653;13.69%;30502;"R$ 1.380,48";"R$ 20.981,49";6;11;"R$ 0,00";0;5.56%;7938
abner_mrios;Lv. 0;6812245507281585158;"R$ 18.765,57";86;89;"R$ 18.839,68";89;92;"R$ 74,11";3;3;"R$ 20.876,45";93;"R$ 22.987,95";97;100;"R$ 97,90";4;2026-05-14-2026-05-14;3948;32.70%;17195;"R$ 875,05";"R$ 20.974,35";3;5;"R$ 0,00";0;1.59%;9505
bandeira7616;Lv. 0;7452082627856794630;"R$ 15.130,36";42;46;"R$ 15.130,36";42;46;"R$ 0,00";0;0;"R$ 16.964,53";46;"R$ 15.462,43";46;50;"R$ 0,00";0;2026-05-14-2026-05-14;4292;27.09%;9220;"R$ 1.339,05";"R$ 16.964,53";2;5;"R$ 89,99";1;5.37%;2086
marcelafranciscato;Lv. 0;6822687419646215174;"R$ 15.031,14";133;133;"R$ 15.431,10";136;136;"R$ 399,96";3;3;"R$ 16.215,32";143;"R$ 17.952,60";147;147;"R$ 472,25";4;2026-05-14-2026-05-14;9867;38.95%;17581;"R$ 1.853,89";"R$ 16.687,57";3;7;"R$ 0,00";0;6.35%;8624
prifelipe.oficial;Lv. 0;7552538105918653496;"R$ 12.165,80";82;82;"R$ 12.458,75";86;86;"R$ 292,95";4;4;"R$ 12.371,38";84;"R$ 13.641,34";88;88;"R$ 292,95";4;2026-05-14-2026-05-14;10273;9.88%;25554;"R$ 1.223,97";"R$ 12.664,33";3;0;"R$ 0,00";0;4.65%;5188
elenaratrindade;Lv. 0;6532062669149618177;"R$ 9.357,50";80;81;"R$ 11.589,90";102;103;"R$ 2.232,40";22;22;"R$ 9.701,92";83;"R$ 12.831,39";111;112;"R$ 2.351,77";24;2026-05-14-2026-05-14;29354;32.08%;17787;"R$ 992,81";"R$ 12.433,81";1;2;"R$ 0,00";0;9.88%;30687
carlaf.bitencourt;Lv. 0;7203798203405108230;"R$ 10.448,73";138;138;"R$ 10.573,70";140;140;"R$ 124,97";2;2;"R$ 10.877,37";144;"R$ 11.733,50";146;146;"R$ 124,97";2;2026-05-14-2026-05-14;22014;24.07%;16271;"R$ 1.037,63";"R$ 11.002,34";4;0;"R$ 0,00";0;5.50%;5568
luanageneralii;Lv. 0;6813149653313799173;"R$ 10.491,01";70;70;"R$ 10.491,01";70;70;"R$ 0,00";0;0;"R$ 10.805,00";72;"R$ 11.852,42";73;73;"R$ 62,99";1;2026-05-14-2026-05-14;3195;30.79%;5904;"R$ 1.596,96";"R$ 10.867,99";3;9;"R$ 0,00";0;4.65%;28118
mari.belezareal;Lv. 0;7486614588432499717;"R$ 0,00";0;0;"R$ 10.015,08";222;223;"R$ 10.015,08";222;223;"R$ 0,00";0;"R$ 9.759,00";229;231;"R$ 10.359,20";229;2026-05-14-2026-05-14;128658;0.00%;0;"R$ 587,76";"R$ 10.359,20";0;6;"R$ 0,00";0;2.53%;543732
_marigil;Lv. 0;6812034214969426949;"R$ 165,92";1;1;"R$ 6.816,54";66;67;"R$ 6.650,62";65;66;"R$ 583,93";5;"R$ 9.869,00";98;100;"R$ 9.027,18";93;2026-05-14-2026-05-14;21223;0.00%;11;"R$ 753,43";"R$ 9.611,11";1;10;"R$ 1.769,49";22;6.28%;392618
