author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
laizmacaneiro;Lv. 6;6787028951971316742;"R$ 54,66";1;1;"R$ 13.841,29";253;254;"R$ 13.786,63";252;253;"R$ 54,66";1;"R$ 18.919,53";320;322;"R$ 18.059,93";319;2026-07-11-2026-07-11;272970;0.00%;0;"R$ 1.395,25";"R$ 18.114,59";0;20;"R$ 0,00";0;4.80%;564051
eliel_pereira19;Lv. 4;7620551850345235457;"R$ 0,00";0;0;"R$ 11.153,86";105;106;"R$ 11.153,86";105;106;"R$ 0,00";0;"R$ 13.528,50";118;119;"R$ 12.511,64";118;2026-07-11-2026-07-11;2993;0.00%;0;"R$ 721,54";"R$ 12.511,64";0;1;"R$ 0,00";0;2.15%;335181
_marigil;Lv. 5;6812034214969426949;"R$ 0,00";0;0;"R$ 10.049,20";227;231;"R$ 10.049,20";227;231;"R$ 37,13";1;"R$ 12.765,92";275;279;"R$ 12.402,87";274;2026-07-11-2026-07-11;26293;8.35%;1941;"R$ 1.128,71";"R$ 12.440,00";2;0;"R$ 632,22";6;6.87%;573242
exitus.shop;Lv. 5;7465784835714614278;"R$ 9.199,73";86;89;"R$ 9.529,26";89;92;"R$ 329,53";3;3;"R$ 10.574,65";97;"R$ 11.580,11";100;104;"R$ 329,53";3;2026-07-11-2026-07-11;30377;9.36%;17302;"R$ 1.476,61";"R$ 10.904,18";3;10;"R$ 252,64";2;0.26%;41149
jainybreder;Lv. 4;6642234880195657734;"R$ 6.903,48";9;9;"R$ 6.903,48";9;9;"R$ 0,00";0;0;"R$ 10.055,90";13;"R$ 10.309,47";13;13;"R$ 0,00";0;2026-07-11-2026-07-11;12375;12.10%;4810;"R$ 556,68";"R$ 10.055,90";1;0;"R$ 0,00";0;5.68%;634
empoderyas;Lv. 5;6814645518830388229;"R$ 8.015,91";67;68;"R$ 9.592,74";94;96;"R$ 1.576,83";27;28;"R$ 8.454,76";71;"R$ 10.442,15";98;100;"R$ 1.559,36";27;2026-07-11-2026-07-11;33229;12.55%;24013;"R$ 1.369,68";"R$ 10.014,12";1;25;"R$ 0,00";0;2.32%;89358
bandeira7616;Lv. 5;7452082627856794630;"R$ 8.247,75";27;43;"R$ 8.470,61";28;45;"R$ 222,86";1;2;"R$ 9.337,81";33;"R$ 9.611,70";34;55;"R$ 222,86";1;2026-07-11-2026-07-11;8127;21.39%;13894;"R$ 985,17";"R$ 9.560,67";2;0;"R$ 0,00";0;9.09%;9309
cristieleoliveira_;Lv. 3;6880494754335343621;"R$ 7.111,59";241;246;"R$ 7.111,59";241;246;"R$ 0,00";0;0;"R$ 8.106,92";225;"R$ 8.260,13";225;231;"R$ 0,00";0;2026-07-11-2026-07-11;70773;33.44%;13488;"R$ 1.024,37";"R$ 8.106,92";2;0;"R$ 0,00";0;3.91%;256
geisivibes;Lv. 4;7550508564374569989;"R$ 0,00";0;0;"R$ 7.412,67";126;127;"R$ 7.412,67";126;127;"R$ 0,00";0;"R$ 8.092,65";137;138;"R$ 8.084,32";137;2026-07-11-2026-07-11;16092;0.00%;0;"R$ 706,67";"R$ 8.084,32";0;6;"R$ 0,00";0;2.55%;211922
planosdaka;Lv. 5;7277304865007682566;"R$ 7.093,77";62;63;"R$ 7.220,00";67;68;"R$ 0,00";0;0;"R$ 7.757,60";86;"R$ 8.624,70";95;97;"R$ 50,90";1;2026-07-11-2026-07-11;12911;52.69%;4735;"R$ 649,25";"R$ 7.991,17";1;0;"R$ 0,00";0;6.74%;371
