author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
dicasdamay62;Lv. 5;7597815478207693832;"R$ 44.040,43";608;610;"R$ 45.757,88";628;630;"R$ 1.717,45";20;20;"R$ 45.376,73";624;"R$ 46.000,19";649;651;"R$ 2.025,26";25;2026-07-09-2026-07-09;14751;31.53%;63209;"R$ 4.887,68";"R$ 47.401,99";1;8;"R$ 0,00";0;6.34%;34096
nai.lenhardt;Lv. 4;7005969763944875014;"R$ 29.363,02";213;215;"R$ 29.800,80";218;220;"R$ 437,78";5;5;"R$ 31.725,01";227;"R$ 35.215,59";234;236;"R$ 606,76";7;2026-07-09-2026-07-09;11653;29.36%;26556;"R$ 1.664,13";"R$ 32.331,77";1;0;"R$ 0,00";0;6.85%;13388
laizmacaneiro;Lv. 6;6787028951971316742;"R$ 197,31";3;3;"R$ 20.160,08";357;358;"R$ 19.830,33";352;353;"R$ 328,93";5;"R$ 27.556,81";463;465;"R$ 26.010,79";455;2026-07-09-2026-07-09;272541;0.00%;0;"R$ 2.069,11";"R$ 26.545,40";0;27;"R$ 0,00";0;4.58%;924205
empoderyas;Lv. 5;6814645518830388229;"R$ 20.735,12";174;174;"R$ 21.955,34";191;191;"R$ 1.220,22";17;17;"R$ 22.214,52";186;"R$ 25.180,11";214;214;"R$ 1.963,83";28;2026-07-09-2026-07-09;33071;13.43%;57050;"R$ 3.304,42";"R$ 24.178,35";6;16;"R$ 0,00";0;2.80%;61207
exitus.shop;Lv. 5;7465784835714614278;"R$ 19.001,63";206;214;"R$ 19.889,83";213;221;"R$ 888,20";7;7;"R$ 21.001,36";229;"R$ 23.159,68";236;245;"R$ 888,20";7;2026-07-09-2026-07-09;30339;15.72%;25861;"R$ 2.995,93";"R$ 21.889,56";2;2;"R$ 0,00";0;2.31%;5973
kahrouul;Lv. 6;6812048966706185222;"R$ 17.269,77";36;36;"R$ 17.397,84";38;38;"R$ 128,07";2;2;"R$ 17.226,11";37;"R$ 19.577,52";40;40;"R$ 1.104,27";3;2026-07-09-2026-07-09;23457;12.25%;20109;"R$ 1.567,07";"R$ 18.330,38";6;6;"R$ 0,00";0;4.66%;11439
marcelafranciscato;Lv. 5;6822687419646215174;"R$ 15.302,83";133;135;"R$ 17.046,49";148;150;"R$ 1.743,66";15;15;"R$ 16.146,30";140;"R$ 21.016,28";159;161;"R$ 2.124,13";19;2026-07-09-2026-07-09;11663;23.88%;16736;"R$ 1.990,97";"R$ 18.270,43";2;0;"R$ 0,00";0;5.45%;33200
planosdaka;Lv. 5;7277304865007682566;"R$ 12.046,72";78;80;"R$ 12.154,69";81;83;"R$ 31,90";1;1;"R$ 12.629,53";95;"R$ 14.114,66";99;101;"R$ 31,90";1;2026-07-09-2026-07-09;12838;66.67%;4788;"R$ 1.216,22";"R$ 12.762,39";1;0;"R$ 0,00";0;4.86%;617
_marigil;Lv. 5;6812034214969426949;"R$ 0,00";0;0;"R$ 8.533,29";180;184;"R$ 8.533,29";180;184;"R$ 149,26";1;"R$ 12.584,19";239;250;"R$ 12.031,81";238;2026-07-09-2026-07-09;26099;0.00%;0;"R$ 1.140,99";"R$ 12.181,07";0;0;"R$ 672,40";7;8.45%;456331
lelehelena98;Lv. 4;6789761976480728070;"R$ 7.934,73";77;81;"R$ 9.290,45";98;103;"R$ 1.355,72";21;22;"R$ 9.095,88";87;"R$ 12.326,08";121;129;"R$ 1.979,63";29;2026-07-09-2026-07-09;104527;17.27%;11001;"R$ 1.570,98";"R$ 11.799,91";1;3;"R$ 4.615,22";43;6.57%;68737
paulabrigo;Lv. 4;6754367042377892869;"R$ 8.770,20";82;82;"R$ 9.905,55";101;101;"R$ 1.135,35";19;19;"R$ 9.750,52";90;"R$ 12.428,65";114;115;"R$ 1.568,50";24;2026-07-09-2026-07-09;20065;9.76%;21322;"R$ 917,12";"R$ 11.319,02";6;5;"R$ 0,00";0;4.76%;25005
eliel_pereira19;Lv. 4;7620551850345235457;"R$ 0,00";0;0;"R$ 10.505,16";100;101;"R$ 10.505,16";100;101;"R$ 0,00";0;"R$ 12.178,25";107;108;"R$ 11.225,30";107;2026-07-09-2026-07-09;2870;0.00%;0;"R$ 747,75";"R$ 11.225,30";0;1;"R$ 0,00";0;3.18%;470145
mari.belezareal;Lv. 5;7486614588432499717;"R$ 0,00";0;0;"R$ 10.616,39";223;227;"R$ 10.576,11";222;226;"R$ 0,00";0;"R$ 10.584,70";237;243;"R$ 11.096,08";236;2026-07-09-2026-07-09;164037;0.00%;0;"R$ 949,72";"R$ 11.136,36";0;10;"R$ 0,00";0;3.79%;310840
elenaratrindade;Lv. 5;6532062669149618177;"R$ 5.937,72";46;46;"R$ 8.165,74";67;67;"R$ 2.228,02";21;21;"R$ 6.882,72";54;"R$ 10.928,06";84;84;"R$ 3.249,44";30;2026-07-09-2026-07-09;35001;19.52%;21044;"R$ 869,46";"R$ 10.132,16";6;3;"R$ 0,00";0;8.27%;29706
jotamatiotti;Lv. 5;6973353133683426309;"R$ 6.005,62";11;11;"R$ 6.137,13";12;12;"R$ 131,51";1;1;"R$ 8.703,96";15;"R$ 9.683,31";20;20;"R$ 575,70";5;2026-07-09-2026-07-09;23108;9.42%;12395;"R$ 844,68";"R$ 9.279,66";6;11;"R$ 0,00";0;5.33%;7595
milenarzb;Lv. 3;7148901470980473861;"R$ 6.904,85";52;53;"R$ 6.904,85";52;53;"R$ 0,00";0;0;"R$ 8.968,33";62;"R$ 9.963,24";62;64;"R$ 0,00";0;2026-07-09-2026-07-09;4693;18.36%;8900;"R$ 350,89";"R$ 8.968,33";2;0;"R$ 0,00";0;2.49%;362
