author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
laizmacaneiro;Lv. 6;6787028951971316742;"R$ 2.726,81";42;42;"R$ 15.812,51";265;270;"R$ 13.031,52";221;226;"R$ 2.791,65";43;"R$ 21.054,66";342;347;"R$ 17.603,94";297;2026-07-15-2026-07-15;273929;35.66%;7249;"R$ 1.684,88";"R$ 20.449,77";1;21;"R$ 0,00";0;5.67%;463262
dicasdamay62;Lv. 5;7597815478207693832;"R$ 15.827,96";218;225;"R$ 16.802,85";233;240;"R$ 974,89";15;15;"R$ 16.245,15";224;"R$ 17.409,90";244;251;"R$ 1.313,19";20;2026-07-15-2026-07-15;15519;25.62%;28170;"R$ 1.860,70";"R$ 17.558,34";4;7;"R$ 0,00";0;5.74%;15516
exitus.shop;Lv. 5;7465784835714614278;"R$ 12.557,08";92;98;"R$ 12.598,83";93;99;"R$ 41,75";1;1;"R$ 14.347,07";106;"R$ 15.881,52";108;114;"R$ 173,51";2;2026-07-15-2026-07-15;30567;17.55%;10457;"R$ 2.013,92";"R$ 14.520,58";3;8;"R$ 511,10";4;0.19%;41695
bandeira7616;Lv. 5;7452082627856794630;"R$ 12.363,88";44;66;"R$ 12.496,88";45;67;"R$ 133,00";1;1;"R$ 13.399,09";49;"R$ 13.676,74";52;75;"R$ 295,09";3;2026-07-15-2026-07-15;8360;23.15%;22677;"R$ 1.262,53";"R$ 13.694,18";2;2;"R$ 0,00";0;6.48%;8952
planosdaka;Lv. 5;7277304865007682566;"R$ 11.459,54";81;81;"R$ 11.459,54";81;81;"R$ 0,00";0;0;"R$ 12.278,33";93;"R$ 13.447,98";93;93;"R$ 0,00";0;2026-07-15-2026-07-15;13079;54.38%;6763;"R$ 1.193,28";"R$ 12.278,33";2;0;"R$ 0,00";0;5.12%;410
_marigil;Lv. 5;6812034214969426949;"R$ 0,00";0;0;"R$ 7.079,33";141;150;"R$ 7.079,33";141;150;"R$ 0,00";0;"R$ 10.501,16";187;200;"R$ 9.850,58";187;2026-07-15-2026-07-15;26672;0.00%;4;"R$ 959,87";"R$ 9.850,58";1;0;"R$ 296,97";3;5.61%;399786
byadrianams;Lv. 4;7516288332260951046;"R$ 5.991,02";35;35;"R$ 8.371,31";56;58;"R$ 2.380,29";21;23;"R$ 6.810,55";39;"R$ 10.280,24";65;68;"R$ 2.887,28";26;2026-07-15-2026-07-15;15577;33.25%;7623;"R$ 1.000,38";"R$ 9.697,83";1;6;"R$ 727,33";5;3.45%;38846
empoderyas;Lv. 5;6814645518830388229;"R$ 6.825,67";63;66;"R$ 8.441,94";90;93;"R$ 1.616,27";27;27;"R$ 6.825,67";63;"R$ 8.901,96";97;100;"R$ 2.068,80";34;2026-07-15-2026-07-15;33397;12.64%;18524;"R$ 794,15";"R$ 8.894,47";5;22;"R$ 149,00";1;1.05%;136650
elenaratrindade;Lv. 5;6532062669149618177;"R$ 4.476,90";33;33;"R$ 7.111,05";57;57;"R$ 2.634,15";24;24;"R$ 5.136,97";38;"R$ 9.248,80";71;71;"R$ 3.740,70";33;2026-07-15-2026-07-15;35510;23.98%;12681;"R$ 666,16";"R$ 8.877,67";3;0;"R$ 0,00";0;11.27%;28394
alexxcreator;Lv. 5;7568983106017248267;"R$ 7.527,99";16;16;"R$ 7.527,99";16;16;"R$ 0,00";0;0;"R$ 7.527,99";16;"R$ 7.299,59";16;16;"R$ 0,00";0;2026-07-15-2026-07-15;3835;19.66%;3255;"R$ 631,84";"R$ 7.527,99";1;0;"R$ 0,00";0;9.27%;464
luanna.gomide;Lv. 4;6807131825984996357;"R$ 7.583,17";66;66;"R$ 7.583,17";66;66;"R$ 0,00";0;0;"R$ 7.468,21";65;"R$ 8.174,76";65;65;"R$ 0,00";0;2026-07-15-2026-07-15;7825;19.77%;11768;"R$ 723,52";"R$ 7.468,21";2;4;"R$ 0,00";0;5.60%;2070
mari.belezareal;Lv. 5;7486614588432499717;"R$ 0,00";0;0;"R$ 7.002,69";188;190;"R$ 7.002,69";188;190;"R$ 0,00";0;"R$ 7.977,58";199;201;"R$ 7.444,46";199;2026-07-15-2026-07-15;168067;0.00%;1;"R$ 614,47";"R$ 7.444,46";0;6;"R$ 0,00";0;2.21%;433121
jainybreder;Lv. 4;6642234880195657734;"R$ 5.560,85";7;8;"R$ 5.560,85";7;8;"R$ 0,00";0;0;"R$ 7.371,04";9;"R$ 7.145,72";9;10;"R$ 0,00";0;2026-07-15-2026-07-15;12398;11.50%;4329;"R$ 399,24";"R$ 7.371,04";1;0;"R$ 0,00";0;7.18%;418
bdgroupshop;Lv. 4;7477153061481694214;"R$ 6.219,50";11;11;"R$ 6.382,95";12;12;"R$ 163,45";1;1;"R$ 6.219,50";11;"R$ 6.189,84";14;14;"R$ 490,35";3;2026-07-15-2026-07-15;6290;6.82%;17676;"R$ 428,13";"R$ 6.709,85";1;0;"R$ 0,00";0;3.81%;761
dudaabragaa_;Lv. 4;7551623487204131851;"R$ 4.034,87";14;14;"R$ 5.392,74";52;52;"R$ 1.357,87";38;38;"R$ 5.034,79";17;"R$ 6.653,12";58;58;"R$ 1.489,87";41;2026-07-15-2026-07-15;12956;35.17%;5752;"R$ 423,45";"R$ 6.524,66";3;3;"R$ 93,32";1;4.91%;238453
rafaella.samara;Lv. 5;7325890451452740614;"R$ 5.362,31";74;74;"R$ 5.613,70";79;79;"R$ 251,39";5;5;"R$ 5.449,59";75;"R$ 6.004,74";83;83;"R$ 529,15";8;2026-07-15-2026-07-15;6398;24.21%;15364;"R$ 538,24";"R$ 5.978,74";1;11;"R$ 0,00";0;4.02%;13432
lelehelena98;Lv. 4;6789761976480728070;"R$ 4.585,28";48;50;"R$ 5.319,19";62;65;"R$ 733,91";14;15;"R$ 4.803,93";51;"R$ 6.056,78";69;72;"R$ 909,69";18;2026-07-15-2026-07-15;104554;13.66%;9816;"R$ 760,98";"R$ 5.713,62";3;0;"R$ 955,75";14;6.77%;61441
nayana.stefany;Lv. 4;6810332006409913349;"R$ 4.485,76";92;92;"R$ 4.500,73";93;93;"R$ 14,97";1;1;"R$ 4.931,55";98;"R$ 4.631,47";99;99;"R$ 14,97";1;2026-07-15-2026-07-15;13680;25.62%;7208;"R$ 838,85";"R$ 4.946,52";1;1;"R$ 0,00";0;3.27%;825
nanda_diasugc;Lv. 3;6752499113714418694;"R$ 0,00";0;0;"R$ 4.025,29";178;182;"R$ 4.003,39";177;181;"R$ 0,00";0;"R$ 4.350,86";197;201;"R$ 4.373,55";196;2026-07-15-2026-07-15;2246;0.00%;0;"R$ 374,75";"R$ 4.395,45";0;13;"R$ 0,00";0;0.96%;397150
i.asdicas;Lv. 4;7246645538383381509;"R$ 4.095,12";32;32;"R$ 4.263,67";33;33;"R$ 168,55";1;1;"R$ 4.095,12";32;"R$ 4.597,50";33;33;"R$ 168,55";1;2026-07-15-2026-07-15;6733;2.51%;63459;"R$ 427,52";"R$ 4.263,67";21;0;"R$ 0,00";0;4.66%;3050
eliel_pereira19;Lv. 4;7620551850345235457;"R$ 0,00";0;0;"R$ 3.732,11";32;32;"R$ 3.732,11";32;32;"R$ 0,00";0;"R$ 4.224,00";36;36;"R$ 4.134,94";36;2026-07-15-2026-07-15;3115;0.00%;0;"R$ 243,01";"R$ 4.134,94";0;2;"R$ 0,00";0;4.01%;90787
rafaelmunarocreator;Lv. 4;7094338910360372229;"R$ 0,00";0;0;"R$ 3.683,19";50;57;"R$ 3.683,19";50;57;"R$ 0,00";0;"R$ 4.097,25";54;61;"R$ 3.944,05";54;2026-07-15-2026-07-15;18272;0.00%;0;"R$ 206,75";"R$ 3.944,05";0;27;"R$ 0,00";0;0.62%;246886
