author_alias;author_ecom_level_id;author_id;cl_flow_con_live_pay_amt;cl_flow_con_live_pay_sku_order_cnt;cl_flow_con_live_pay_sub_order_cnt;cl_flow_con_pay_amt;cl_flow_con_pay_sku_order_cnt;cl_flow_con_pay_sub_order_cnt;cl_flow_con_video_pay_amt;cl_flow_con_video_pay_sku_order_cnt;cl_flow_con_video_pay_sub_order_cnt;cl_live_pay_amt;cl_live_pay_sku_order_cnt;cl_pay_commission_base_amt;cl_pay_sku_order_cnt;cl_pay_sub_order_cnt;cl_video_pay_amt;cl_video_pay_sku_order_cnt;date_range;fans_cnt_td;live_product_ctr;live_watch_cnt;pre_estimated_commission;sum_cl_pay_amt;sum_publish_ec_live_cnt;sum_publish_ec_video_cnt;tap_author_cl_pay_amt;tap_author_cl_pay_sku_order_cnt;video_product_ctr;video_watch_cnt
kahrouul;Lv. 6;6812048966706185222;"R$ 18.115,63";39;39;"R$ 19.064,67";50;50;"R$ 825,59";9;9;"R$ 18.844,00";41;"R$ 19.847,22";53;53;"R$ 913,32";10;2026-07-19-2026-07-19;25881;13.13%;25944;"R$ 1.735,65";"R$ 19.880,77";4;7;"R$ 258,13";1;6.77%;14047
laizmacaneiro;Lv. 6;6787028951971316742;"R$ 61,20";1;1;"R$ 14.140,23";226;226;"R$ 14.032,32";224;224;"R$ 183,61";2;"R$ 18.868,07";281;282;"R$ 18.165,00";278;2026-07-19-2026-07-19;274748;0.00%;0;"R$ 1.382,95";"R$ 18.395,32";0;22;"R$ 0,00";0;5.16%;528226
dicasdamay62;Lv. 5;7597815478207693832;"R$ 14.364,99";207;208;"R$ 15.181,90";218;219;"R$ 816,91";11;11;"R$ 14.732,01";212;"R$ 16.000,48";228;229;"R$ 1.116,74";16;2026-07-19-2026-07-19;16582;26.98%;30239;"R$ 1.594,78";"R$ 15.848,75";2;6;"R$ 0,00";0;4.99%;15297
exitus.shop;Lv. 5;7465784835714614278;"R$ 13.544,81";97;101;"R$ 13.603,86";98;102;"R$ 59,05";1;1;"R$ 14.625,92";107;"R$ 16.059,75";108;112;"R$ 59,05";1;2026-07-19-2026-07-19;30664;14.15%;17336;"R$ 2.008,14";"R$ 14.684,97";3;2;"R$ 152,00";1;0.19%;47504
dudaabragaa_;Lv. 4;7551623487204131851;"R$ 11.156,56";38;38;"R$ 11.566,33";50;50;"R$ 409,77";12;12;"R$ 11.297,86";39;"R$ 12.177,81";53;53;"R$ 881,08";14;2026-07-19-2026-07-19;13637;31.55%;13976;"R$ 1.208,68";"R$ 12.178,94";3;3;"R$ 0,00";0;8.82%;87222
mari.belezareal;Lv. 5;7486614588432499717;"R$ 0,00";0;0;"R$ 11.496,12";285;288;"R$ 11.496,12";285;288;"R$ 0,00";0;"R$ 12.282,71";303;306;"R$ 12.084,78";303;2026-07-19-2026-07-19;170428;0.00%;0;"R$ 948,55";"R$ 12.084,78";0;6;"R$ 0,00";0;2.87%;488838
planosdaka;Lv. 5;7277304865007682566;"R$ 9.947,58";73;75;"R$ 10.111,88";74;76;"R$ 0,00";0;0;"R$ 10.357,83";78;"R$ 11.631,28";80;82;"R$ 0,00";0;2026-07-19-2026-07-19;13213;47.75%;7924;"R$ 1.118,75";"R$ 10.621,48";1;0;"R$ 0,00";0;3.28%;732
_marigil;Lv. 5;6812034214969426949;"R$ 394,93";4;4;"R$ 6.751,04";118;118;"R$ 6.356,11";114;114;"R$ 394,93";4;"R$ 9.447,22";147;147;"R$ 8.632,33";143;2026-07-19-2026-07-19;27086;11.98%;3264;"R$ 826,57";"R$ 9.027,26";1;5;"R$ 453,14";7;5.64%;302219
i.asdicas;Lv. 4;7246645538383381509;"R$ 7.844,05";61;62;"R$ 8.402,35";65;66;"R$ 409,70";3;3;"R$ 7.929,07";61;"R$ 9.189,00";65;66;"R$ 409,70";3;2026-07-19-2026-07-19;7369;2.34%;108061;"R$ 840,64";"R$ 8.487,37";20;0;"R$ 0,00";0;5.37%;4875
luanna.gomide;Lv. 4;6807131825984996357;"R$ 7.742,69";64;64;"R$ 7.742,69";64;64;"R$ 0,00";0;0;"R$ 8.126,75";67;"R$ 8.579,84";67;67;"R$ 0,00";0;2026-07-19-2026-07-19;7941;18.07%;28305;"R$ 758,36";"R$ 8.126,75";5;4;"R$ 0,00";0;4.78%;1193
